tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2026-7808,Bengaluru,Hard,32,C,O,20260105,1,MO44,1,,Pedro Martinez,R,185,ESP,,96,643,V993,,,Eero Vasa,R,185,FIN,,489,88,4-6 6-2 6-3,3,R32,129,5,10,91,53,39,19,14,7,10,12,6,88,49,33,16,13,4,9
2026-7808,Bengaluru,Hard,32,C,O,20260105,2,SK94,,,Cedrik-Marcel Stebe,L,180,GER,,346,142,H0CX,7,,Max Houkes,L,188,NED,,245,221,4-6 6-3 6-1,3,R32,150,4,4,93,52,35,24,13,7,9,3,3,97,49,29,25,13,12,17
2026-7808,Bengaluru,Hard,32,C,O,20260105,3,B0WL,,,Felix Balshaw,R,191,FRA,,718,44,HG94,8,,Benjamin Hassan,R,183,LBN,,259,208,6-4 6-1,3,R32,307,8,5,66,35,28,15,9,7,8,2,1,48,29,18,6,8,3,7
2026-7808,Bengaluru,Hard,32,C,O,20260105,4,GG65,,,Michael Geerts,R,178,BEL,,295,178,GJ05,,,Alexis Gautier,R,198,FRA,,759,38,3-6 6-4 6-3,3,R32,536,9,4,95,51,39,22,14,8,10,11,5,104,64,43,20,14,9,12
2026-7808,Bengaluru,Hard,32,C,O,20260105,5,GH92,,,Borna Gojo,R,196,CRO,,293,178,S0RI,,,Karan Singh,R,185,IND,,466,94,6-2 6-4,3,R32,64,13,0,42,30,27,9,9,0,0,4,2,66,47,27,11,9,2,5
2026-7808,Bengaluru,Hard,32,C,O,20260105,6,L0I5,,,Mitsuki Wei Kang Leong,R,175,MAS,,774,36,O09A,,,Aziz Ouakaa,R,185,TUN,,656,53,6-2 6-2,3,R32,65,3,2,42,30,26,5,8,0,1,2,1,52,28,14,8,8,3,8
2026-7808,Bengaluru,Hard,32,C,O,20260105,7,S0DE,,,Dhakshineswar Suresh,R,196,IND,,521,79,A0CJ,,,Duje Ajdukovic,R,188,CRO,,329,153,6-4 6-4,3,R32,59,20,2,52,38,34,7,10,0,0,6,3,52,31,25,10,10,1,3
2026-7808,Bengaluru,Hard,32,C,O,20260105,8,V0D4,,,Eric Vanshelboim,R,188,UKR,,470,93,V0D0,,,Niels Visker,R,191,NED,,702,46,3-6 6-2 6-4,3,R32,109,3,2,94,67,48,14,14,9,11,5,3,72,45,33,13,13,5,8
2026-7808,Bengaluru,Hard,32,C,O,20260105,9,Z09Z,,,Beibit Zhukayev,R,198,KAZ,,277,193,S0W8,,,Aryan Shah,R,183,IND,,398,119,6-1 6-2,3,R32,77,11,3,52,31,25,11,8,4,4,1,5,51,25,14,11,7,4,8
2026-7808,Bengaluru,Hard,32,C,O,20260105,10,M0G4,2,,Harold Mayot,R,180,FRA,,167,345,B0LQ,,,Petr Bar Biryukov,L,196,RUS,,326,156,6-1 6-4,3,R32,65,2,3,53,32,24,12,9,1,2,4,11,56,26,20,9,8,3,7
2026-7808,Bengaluru,Hard,32,C,O,20260105,11,MW76,,,Matteo Martineau,R,183,FRA,,319,158,CI14,3,,Jay Clarke,R,183,GBR,,174,330,4-6 6-1 6-2,3,R32,136,7,4,95,63,44,17,13,8,9,0,6,71,47,31,9,12,3,7
2026-7808,Bengaluru,Hard,32,C,O,20260105,12,F0BT,,,Jonas Forejtek,R,183,CZE,,441,105,HG86,4,,Lloyd Harris,R,193,RSA,,220,256,7-6(5) 6-4,3,R32,105,6,2,87,56,48,13,11,8,8,12,1,70,43,34,13,11,2,3
2026-7808,Bengaluru,Hard,32,C,O,20260105,13,D0JI,,,Manas Dhamne,R,183,IND,,556,71,D0L3,5,,Matej Dodig,R,188,CRO,,231,244,7-5 4-6 6-1,3,R32,125,3,2,81,54,42,17,15,2,3,12,5,91,61,42,15,14,4,7
2026-7808,Bengaluru,Hard,32,C,O,20260105,14,S0GR,6,,Timofey Skatov,R,173,KAZ,,235,238,O0AD,,,Neil Oberleitner,R,191,AUT,,427,109,6-3 6-3,3,R32,61,1,0,41,26,24,12,9,0,0,7,3,55,36,24,9,9,3,6
2026-7808,Bengaluru,Hard,32,C,O,20260105,15,M0C2,,,Dan Martin,R,175,CAN,,421,110,O659,,,Vladyslav Orlov,R,188,UKR,,498,86,6-7(4) 7-5 6-4,3,R32,157,10,5,96,59,47,19,17,4,7,6,5,116,67,45,25,17,8,13
2026-7808,Bengaluru,Hard,32,C,O,20260105,16,N897,,,Sumit Nagal,R,178,IND,,275,195,DH23,,,S D Prajwal Dev,R,175,IND,,632,57,6-3 6-3,3,R32,78,8,2,47,30,24,11,9,4,5,1,2,55,37,22,7,9,5,9
2026-7808,Bengaluru,Hard,32,C,O,20260105,17,MO44,1,,Pedro Martinez,R,185,ESP,,96,643,GG65,,,Michael Geerts,R,178,BEL,,295,178,7-6(3) 6-3,3,R16,114,6,3,59,39,29,11,10,3,5,7,3,82,39,25,18,11,6,10
2026-7808,Bengaluru,Hard,32,C,O,20260105,18,M0G4,2,,Harold Mayot,R,180,FRA,,167,345,N897,,,Sumit Nagal,R,178,IND,,275,195,7-6(2) 1-6 7-6(11),3,R16,189,10,1,103,64,43,25,15,3,6,2,3,125,88,58,23,16,9,10
2026-7808,Bengaluru,Hard,32,C,O,20260105,19,S0GR,6,,Timofey Skatov,R,173,KAZ,,235,238,L0I5,,,Mitsuki Wei Kang Leong,R,175,MAS,,774,36,6-3 7-5,3,R16,92,3,0,52,27,21,16,10,2,3,8,3,71,39,25,16,11,5,9
2026-7808,Bengaluru,Hard,32,C,O,20260105,20,D0JI,,,Manas Dhamne,R,183,IND,,556,71,Z09Z,,,Beibit Zhukayev,R,198,KAZ,,277,193,6-2 3-6 6-2,3,R16,112,4,2,64,37,29,15,12,0,2,6,6,80,43,31,13,13,3,8
2026-7808,Bengaluru,Hard,32,C,O,20260105,21,F0BT,,,Jonas Forejtek,R,183,CZE,,441,105,M0C2,,,Dan Martin,R,175,CAN,,421,110,6-7(5) 6-1 6-4,3,R16,121,19,1,80,45,40,19,15,2,4,4,1,93,60,38,15,14,7,12
2026-7808,Bengaluru,Hard,32,C,O,20260105,22,MW76,,,Matteo Martineau,R,183,FRA,,319,158,V0D4,,,Eric Vanshelboim,R,188,UKR,,470,93,6-2 6-2,3,R16,62,5,2,44,31,25,8,8,0,0,0,0,45,35,19,4,8,3,7
2026-7808,Bengaluru,Hard,32,C,O,20260105,23,SK94,,,Cedrik-Marcel Stebe,L,180,GER,,346,142,GH92,,,Borna Gojo,R,196,CRO,,293,178,7-5 7-6(9),3,R16,132,3,0,95,58,42,25,12,7,7,10,7,88,59,45,14,12,5,6
2026-7808,Bengaluru,Hard,32,C,O,20260105,24,S0DE,,,Dhakshineswar Suresh,R,196,IND,,521,79,B0WL,,,Felix Balshaw,R,191,FRA,,718,44,6-3 1-6 7-6(4),3,R16,121,11,0,103,61,43,21,14,13,16,11,2,81,49,39,17,14,3,5
2026-7808,Bengaluru,Hard,32,C,O,20260105,25,MO44,1,,Pedro Martinez,R,185,ESP,,96,643,SK94,,,Cedrik-Marcel Stebe,L,180,GER,,346,142,6-2 6-0,3,QF,76,2,4,47,33,27,4,7,5,6,2,2,59,40,18,7,7,9,15
2026-7808,Bengaluru,Hard,32,C,O,20260105,26,M0G4,2,,Harold Mayot,R,180,FRA,,167,345,S0DE,,,Dhakshineswar Suresh,R,196,IND,,521,79,7-6(5) 6-2,3,QF,88,6,0,56,36,32,14,10,0,0,3,4,78,44,37,12,10,7,9
2026-7808,Bengaluru,Hard,32,C,O,20260105,27,S0GR,6,,Timofey Skatov,R,173,KAZ,,235,238,F0BT,,,Jonas Forejtek,R,183,CZE,,441,105,6-4 6-2,3,QF,87,1,1,63,43,33,11,9,5,5,3,2,56,28,18,13,9,1,4
2026-7808,Bengaluru,Hard,32,C,O,20260105,28,MW76,,,Matteo Martineau,R,183,FRA,,319,158,D0JI,,,Manas Dhamne,R,183,IND,,556,71,6-4 7-6(5),3,QF,116,6,3,77,51,43,11,11,5,5,2,1,70,45,29,18,11,2,3
2026-7808,Bengaluru,Hard,32,C,O,20260105,29,MO44,1,,Pedro Martinez,R,185,ESP,,96,643,MW76,,,Matteo Martineau,R,183,FRA,,319,158,7-6(4) 6-1,3,SF,98,2,2,64,49,36,9,10,1,2,6,4,58,36,26,9,9,5,8
2026-7808,Bengaluru,Hard,32,C,O,20260105,30,S0GR,6,,Timofey Skatov,R,173,KAZ,,235,238,M0G4,2,,Harold Mayot,R,180,FRA,,167,345,6-4 6-3,3,SF,74,3,1,57,48,39,3,10,2,2,6,2,53,35,25,8,9,0,2
2026-7808,Bengaluru,Hard,32,C,O,20260105,31,MO44,1,,Pedro Martinez,R,185,ESP,,96,643,S0GR,6,,Timofey Skatov,R,173,KAZ,,235,238,7-6(5) 6-3,3,F,116,5,1,61,43,33,16,10,1,1,6,1,76,54,40,10,11,4,6
2026-7393,Canberra,Hard,32,C,O,20260105,1,KI82,1,,Vit Kopriva,R,178,CZE,,101,620,N552,,,Kei Nishikori,R,178,JPN,,238,232,6-1 2-2 RET,3,R32,45,1,0,31,15,11,11,6,0,1,2,0,38,28,11,7,5,1,4
2026-7393,Canberra,Hard,32,C,O,20260105,2,R0E0,,,Chris Rodesch,R,198,LUX,,207,280,N0BG,2,,Luca Nardi,R,185,ITA,,105,599,7-6(4) 6-2,3,R32,83,7,1,58,38,32,13,10,3,3,0,3,72,41,27,15,10,6,8
2026-7393,Canberra,Hard,32,C,O,20260105,3,BS86,4,,Tomas Barrios Vera,R,191,CHI,,108,557,S0TI,,,Philip Sekulic,R,191,AUS,,519,80,6-4 6-4,3,R32,86,6,0,54,36,30,13,10,2,2,7,3,62,40,31,10,10,5,7
2026-7393,Canberra,Hard,32,C,O,20260105,4,P0HT,,,Jack Pinnington Jones,R,180,GBR,,201,287,H09P,5,,Brandon Holt,R,185,USA,,109,553,6-4 6-2,3,R32,85,10,8,75,46,34,14,9,5,5,3,2,52,34,24,6,9,3,6
2026-7393,Canberra,Hard,32,C,O,20260105,5,F0F2,,,Jaime Faria,R,188,POR,,151,405,M0K4,7,,Elmer Moller,R,183,DEN,,119,517,6-1 6-3,3,R32,66,8,3,49,23,17,15,8,1,2,0,4,47,31,14,6,8,3,8
2026-7393,Canberra,Hard,32,C,O,20260105,6,CF59,,,Roberto Carballes Baena,R,183,ESP,,128,469,S0ZE,,,Colton Smith,R,183,USA,,145,424,7-6(4) 6-3,3,R32,104,3,1,65,41,26,16,11,2,4,4,1,76,48,27,15,10,5,8
2026-7393,Canberra,Hard,32,C,O,20260105,7,E0DD,,,Justin Engel,R,185,GER,,180,316,M0AW,,,Nicolas Mejia,R,183,COL,,168,344,7-6(6) 1-6 7-6(6),3,R32,169,12,5,105,62,45,23,16,3,7,16,2,100,65,50,21,15,3,4
2026-7393,Canberra,Hard,32,C,O,20260105,8,GE33,,,Daniel Elahi Galan,R,191,COL,,155,397,N0CS,,,Lukas Neumayer,R,183,AUT,,230,246,7-5 7-5,3,R32,111,18,5,84,53,42,13,12,4,5,4,8,75,41,30,15,12,4,7
2026-7393,Canberra,Hard,32,C,O,20260105,9,J0DZ,,,Rafael Jodar,R,191,ESP,,165,349,J551,,,Nicolas Jarry,R,201,CHI,,133,451,6-3 6-4,3,R32,78,2,3,70,46,30,14,10,4,5,2,0,51,39,24,5,9,2,5
2026-7393,Canberra,Hard,32,C,O,20260105,10,KI63,,,Lukas Klein,R,193,SVK,,141,436,C0HT,,,Murphy Cassone,R,188,USA,,215,268,4-6 7-5 6-3,3,R32,121,10,1,99,70,54,13,16,3,4,15,0,91,61,47,16,15,6,8
2026-7393,Canberra,Hard,32,C,O,20260105,11,J0AZ,,,Kyrian Jacquet,R,175,FRA,,136,442,N732,3,,Yoshihito Nishioka,L,170,JPN,,116,528,2-6 6-1 7-5,3,R32,134,8,2,88,46,35,23,14,4,7,3,2,76,49,33,14,13,9,13
2026-7393,Canberra,Hard,32,C,O,20260105,12,B0PG,6,,Alexander Blockx,R,193,BEL,,115,535,B0U4,,,Nicolai Budkov Kjaer,R,191,NOR,,135,448,6-2 6-3,3,R32,69,6,1,51,33,30,8,9,0,0,3,3,56,31,19,12,8,5,8
2026-7393,Canberra,Hard,32,C,O,20260105,13,L987,8,,Dusan Lajovic,R,183,SRB,,125,487,O513,,,Sebastian Ofner,R,191,AUT,,131,463,6-3 6-2,3,R32,56,1,2,43,29,26,10,9,0,0,4,1,44,24,14,11,8,0,3
2026-7393,Canberra,Hard,32,C,O,20260105,14,BV16,,,Ugo Blanchet,R,175,FRA,,144,427,R0GO,,,Henrique Rocha,R,180,POR,,157,394,6-3 6-4,3,R32,82,4,1,54,29,24,17,10,0,0,8,3,66,37,27,14,9,7,9
2026-7393,Canberra,Hard,32,C,O,20260105,15,M0OQ,,,James McCabe,R,188,AUS,,188,309,L0GH,,,Mark Lajal,R,191,EST,,149,407,7-6(3) 7-6(8),3,R32,132,10,0,81,44,36,23,12,2,3,2,7,89,49,35,22,12,2,3
2026-7393,Canberra,Hard,32,C,O,20260105,16,SY67,,,Sho Shimabukuro,R,180,JPN,,147,414,W0C4,,,Edward Winter,R,178,AUS,,494,87,6-4 6-1,3,R32,76,2,4,50,25,19,13,9,0,2,0,2,62,44,22,7,8,3,8
2026-7393,Canberra,Hard,32,C,O,20260105,17,KI82,1,,Vit Kopriva,R,178,CZE,,101,620,KI63,,,Lukas Klein,R,193,SVK,,141,436,7-6(1) 7-6(1),3,R16,103,6,3,80,50,40,18,12,4,4,10,3,80,58,39,13,12,4,4
2026-7393,Canberra,Hard,32,C,O,20260105,18,BS86,4,,Tomas Barrios Vera,R,191,CHI,,108,557,BV16,,,Ugo Blanchet,R,175,FRA,,144,427,6-7(6) 6-3 7-6(4),3,R16,194,9,4,140,96,64,25,17,10,12,11,6,108,56,42,25,16,2,5
2026-7393,Canberra,Hard,32,C,O,20260105,19,B0PG,6,,Alexander Blockx,R,193,BEL,,115,535,CF59,,,Roberto Carballes Baena,R,183,ESP,,128,469,7-6(8) 3-6 7-5,3,R16,171,10,6,125,68,52,26,16,13,16,1,6,118,74,48,25,17,6,9
2026-7393,Canberra,Hard,32,C,O,20260105,20,L987,8,,Dusan Lajovic,R,183,SRB,,125,487,E0DD,,,Justin Engel,R,185,GER,,180,316,6-4 7-6(4),3,R16,89,5,0,62,37,31,16,11,1,2,4,3,70,45,35,11,11,7,9
2026-7393,Canberra,Hard,32,C,O,20260105,21,J0AZ,,,Kyrian Jacquet,R,175,FRA,,136,442,GE33,,,Daniel Elahi Galan,R,191,COL,,155,397,6-2 6-4,3,R16,64,6,2,46,26,22,13,9,1,2,3,3,52,34,21,6,9,0,4
2026-7393,Canberra,Hard,32,C,O,20260105,22,J0DZ,,,Rafael Jodar,R,191,ESP,,165,349,F0F2,,,Jaime Faria,R,188,POR,,151,405,6-1 6-4,3,R16,63,3,0,49,30,23,15,9,1,1,5,1,53,31,18,12,8,3,6
2026-7393,Canberra,Hard,32,C,O,20260105,23,M0OQ,,,James McCabe,R,188,AUS,,188,309,P0HT,,,Jack Pinnington Jones,R,180,GBR,,201,287,6-4 7-6(4),3,R16,91,9,4,65,42,34,11,11,0,2,7,7,73,45,33,12,11,8,11
2026-7393,Canberra,Hard,32,C,O,20260105,24,SY67,,,Sho Shimabukuro,R,180,JPN,,147,414,R0E0,,,Chris Rodesch,R,198,LUX,,207,280,7-6(5) 7-6(3),3,R16,97,6,1,82,48,36,24,12,2,2,13,2,78,51,41,14,12,1,1
2026-7393,Canberra,Hard,32,C,O,20260105,25,B0PG,6,,Alexander Blockx,R,193,BEL,,115,535,KI82,1,,Vit Kopriva,R,178,CZE,,101,620,7-5 5-7 6-4,3,QF,148,17,8,125,72,53,22,17,12,15,6,12,96,53,34,24,17,1,5
2026-7393,Canberra,Hard,32,C,O,20260105,26,M0OQ,,,James McCabe,R,188,AUS,,188,309,BS86,4,,Tomas Barrios Vera,R,191,CHI,,108,557,6-1 7-6(5),3,QF,86,10,2,68,48,34,11,10,2,3,1,1,48,34,25,4,9,0,3
2026-7393,Canberra,Hard,32,C,O,20260105,27,J0AZ,,,Kyrian Jacquet,R,175,FRA,,136,442,L987,8,,Dusan Lajovic,R,183,SRB,,125,487,7-6(2) 7-5,3,QF,109,9,3,75,45,35,15,12,4,7,8,4,90,58,37,12,12,7,11
2026-7393,Canberra,Hard,32,C,O,20260105,28,J0DZ,,,Rafael Jodar,R,191,ESP,,165,349,SY67,,,Sho Shimabukuro,R,180,JPN,,147,414,6-2 6-4,3,QF,59,7,1,44,31,25,11,9,0,0,5,3,53,34,21,8,9,4,7
2026-7393,Canberra,Hard,32,C,O,20260105,29,B0PG,6,,Alexander Blockx,R,193,BEL,,115,535,M0OQ,,,James McCabe,R,188,AUS,,188,309,6-3 6-7(3) 6-3,3,SF,143,9,4,102,60,45,28,16,5,5,4,7,90,55,42,17,14,3,5
2026-7393,Canberra,Hard,32,C,O,20260105,30,J0DZ,,,Rafael Jodar,R,191,ESP,,165,349,J0AZ,,,Kyrian Jacquet,R,175,FRA,,136,442,6-3 RET,3,SF,45,1,1,34,17,15,7,5,3,4,0,1,26,11,5,7,4,1,3
2026-7393,Canberra,Hard,32,C,O,20260105,31,B0PG,6,,Alexander Blockx,R,193,BEL,,115,535,J0DZ,,,Rafael Jodar,R,191,ESP,,165,349,6-4 6-4,3,F,83,5,1,63,39,30,11,10,4,5,4,2,67,40,29,11,10,5,8
2026-2205,Noumea,Hard,32,C,O,20260105,1,TC61,1,,Jordan Thompson,R,183,AUS,,113,536,H0EK,,,Emile Hudd,R,193,GBR,,825,31,6-3 7-6(5),3,R32,102,14,0,57,40,36,10,10,1,1,5,2,82,57,39,13,11,6,8
2026-2205,Noumea,Hard,32,C,O,20260105,2,Z0BZ,6,,Michael Zheng,R,188,USA,,182,315,J553,,,Omar Jasika,L,183,AUS,,327,155,6-4 6-2,3,R32,69,5,0,47,30,26,11,9,0,0,1,1,59,42,23,11,9,4,7
2026-2205,Noumea,Hard,32,C,O,20260105,3,G0IX,,,Arthur Gea,R,180,FRA,,241,229,B0GY,7,,Alex Barrena,R,175,ARG,,186,312,6-4 6-0,3,R32,85,4,3,53,27,23,10,8,0,2,1,6,69,37,22,8,8,6,12
2026-2205,Noumea,Hard,32,C,O,20260105,4,TA46,8,,Bernard Tomic,R,196,AUS,,187,312,G0BY,,,Daniil Glinka,L,188,EST,,196,297,6-4 6-3,3,R32,106,3,1,78,51,37,13,10,12,13,4,2,67,40,24,14,9,9,12
2026-2205,Noumea,Hard,32,C,O,20260105,5,D0CG,,,Facundo Diaz Acosta,L,183,ARG,,210,275,D09L,,,Louis Dussin,R,178,FRA,,1002,17,6-2 6-3,3,R32,88,1,3,67,41,29,14,9,5,5,0,2,51,32,18,10,8,3,6
2026-2205,Noumea,Hard,32,C,O,20260105,6,I0B0,,,Andre Ilagan,L,173,USA,,355,137,DC38,,,Jake Delaney,R,185,AUS,,477,91,6-4 6-7(5) 7-6(6),3,R32,170,5,1,122,83,57,28,17,7,8,8,1,121,76,54,29,17,7,9
2026-2205,Noumea,Hard,32,C,O,20260105,7,LI10,,,Christian Langmo,R,191,USA,,358,136,O09T,,,Kosuke Ogura,R,170,JPN,,856,28,6-4 6-4,3,R32,74,6,1,52,39,33,8,10,1,1,1,4,70,43,28,16,10,4,6
2026-2205,Noumea,Hard,32,C,O,20260105,8,MW18,,,Nicolas Moreno De Alboran,R,185,USA,,696,46,CD00,,,Maxime Chazal,R,175,FRA,,580,65,6-4 7-6(6),3,R32,125,7,1,92,63,46,15,11,8,8,8,4,83,53,39,16,11,3,4
2026-2205,Noumea,Hard,32,C,O,20260105,9,W0ED,,,James Watt,R,206,NZL,,705,45,V0G6,,,Leo Vithoontien,L,185,JPN,,721,44,7-6(5) 6-1,3,R32,93,10,2,70,52,36,12,10,2,3,3,2,70,47,27,13,9,3,6
2026-2205,Noumea,Hard,32,C,O,20260105,10,D0DP,2,,Liam Draxl,R,185,CAN,,132,461,H0DU,,,Gustavo Heide,R,191,BRA,,239,232,7-6(5) 3-6 6-3,3,R32,154,14,1,92,66,48,15,15,2,4,7,6,89,44,33,28,15,3,5
2026-2205,Noumea,Hard,32,C,O,20260105,11,D0DW,3,,Titouan Droguet,R,191,FRA,,152,404,O0A2,,,Gauthier Onclin,R,180,BEL,,266,200,6-3 6-2,3,R32,71,8,0,57,36,31,11,9,3,3,1,3,46,25,15,9,8,1,4
2026-2205,Noumea,Hard,32,C,O,20260105,12,EA27,,,Blake Ellis,R,191,AUS,,509,83,H996,4,,Pierre-Hugues Herbert,R,188,FRA,,154,399,7-5 4-6 6-4,3,R32,128,10,3,83,51,41,18,16,6,9,11,10,107,62,40,23,16,9,13
2026-2205,Noumea,Hard,32,C,O,20260105,13,R09X,5,,Jurij Rodionov,L,191,AUT,,195,304,B0TP,,,Henry Bernet,R,191,SUI,,510,83,6-4 3-6 6-0,3,R32,112,1,8,82,39,29,19,12,6,9,4,3,85,54,37,8,13,5,11
2026-2205,Noumea,Hard,32,C,O,20260105,14,A09T,,,Dan Added,R,183,FRA,,199,293,SQ79,,,Colin Sinclair,R,188,NMI,,785,35,6-3 6-7(4) 6-2,3,R32,140,6,3,79,49,40,17,14,5,6,3,4,119,74,44,21,15,7,12
2026-2205,Noumea,Hard,32,C,O,20260105,15,B0EK,,,Moerani Bouzige,R,180,AUS,,485,89,PH78,,,Ryan Peniston,L,180,GBR,,218,260,4-6 7-6(9) 6-4,3,R32,194,6,3,119,81,59,14,16,9,13,2,8,113,71,51,19,16,6,10
2026-2205,Noumea,Hard,32,C,O,20260105,16,T09X,,,Clement Tabur,R,173,FRA,,206,282,SX91,,,Thiago Seyboth Wild,R,185,BRA,,216,263,4-6 6-1 6-4,3,R32,111,7,2,73,48,41,15,14,3,4,7,2,71,49,35,10,13,3,6
2026-2205,Noumea,Hard,32,C,O,20260105,17,TC61,1,,Jordan Thompson,R,183,AUS,,113,536,MW18,,,Nicolas Moreno De Alboran,R,185,USA,,696,46,6-4 6-3,3,R16,89,4,0,52,25,21,15,9,0,1,4,3,71,50,28,11,10,3,7
2026-2205,Noumea,Hard,32,C,O,20260105,18,D0DP,2,,Liam Draxl,R,185,CAN,,132,461,B0EK,,,Moerani Bouzige,R,180,AUS,,485,89,6-4 6-2,3,R16,71,7,4,50,33,30,8,9,2,2,4,1,49,29,20,8,9,2,5
2026-2205,Noumea,Hard,32,C,O,20260105,19,T09X,,,Clement Tabur,R,173,FRA,,206,282,D0DW,3,,Titouan Droguet,R,191,FRA,,152,404,6-7(4) 6-4 6-4,3,R16,151,2,1,101,58,45,29,16,5,6,6,4,96,52,41,26,16,3,6
2026-2205,Noumea,Hard,32,C,O,20260105,20,R09X,5,,Jurij Rodionov,L,191,AUT,,195,304,LI10,,,Christian Langmo,R,191,USA,,358,136,6-3 6-4,3,R16,74,6,3,55,36,27,12,10,2,3,6,2,56,38,24,8,9,3,6
2026-2205,Noumea,Hard,32,C,O,20260105,21,Z0BZ,6,,Michael Zheng,R,188,USA,,182,315,A09T,,,Dan Added,R,183,FRA,,199,293,6-2 6-1,3,R16,58,0,1,51,33,23,8,8,5,7,0,2,38,20,9,4,7,1,7
2026-2205,Noumea,Hard,32,C,O,20260105,22,TA46,8,,Bernard Tomic,R,196,AUS,,187,312,W0ED,,,James Watt,R,206,NZL,,705,45,6-4 3-6 4-1 RET,3,R16,97,6,2,83,55,39,17,12,9,10,17,2,77,58,41,9,12,5,7
2026-2205,Noumea,Hard,32,C,O,20260105,23,EA27,,,Blake Ellis,R,191,AUS,,509,83,I0B0,,,Andre Ilagan,L,173,USA,,355,137,7-6(5) 7-6(4),3,R16,121,25,7,89,52,42,20,12,7,8,10,0,84,66,45,13,12,6,7
2026-2205,Noumea,Hard,32,C,O,20260105,24,G0IX,,,Arthur Gea,R,180,FRA,,241,229,D0CG,,,Facundo Diaz Acosta,L,183,ARG,,210,275,7-6(5) 6-3,3,R16,120,4,3,71,39,30,15,10,2,4,1,5,65,36,24,17,11,5,9
2026-2205,Noumea,Hard,32,C,O,20260105,25,R09X,5,,Jurij Rodionov,L,191,AUT,,195,304,TC61,1,,Jordan Thompson,R,183,AUS,,113,536,6-4 6-4,3,QF,106,5,4,57,35,25,14,10,2,3,7,2,94,52,35,18,10,9,12
2026-2205,Noumea,Hard,32,C,O,20260105,26,G0IX,,,Arthur Gea,R,180,FRA,,241,229,D0DP,2,,Liam Draxl,R,185,CAN,,132,461,6-3 6-2,3,QF,87,4,1,53,28,22,17,9,2,2,1,1,56,30,17,14,8,1,4
2026-2205,Noumea,Hard,32,C,O,20260105,27,Z0BZ,6,,Michael Zheng,R,188,USA,,182,315,T09X,,,Clement Tabur,R,173,FRA,,206,282,3-6 6-4 6-2,3,QF,122,4,2,85,46,28,19,13,4,9,1,3,86,59,37,9,14,6,13
2026-2205,Noumea,Hard,32,C,O,20260105,28,EA27,,,Blake Ellis,R,191,AUS,,509,83,TA46,8,,Bernard Tomic,R,196,AUS,,187,312,7-6(4) 3-6 6-4,3,QF,121,21,2,82,43,37,22,15,0,1,7,2,91,61,43,23,16,1,2
2026-2205,Noumea,Hard,32,C,O,20260105,29,R09X,5,,Jurij Rodionov,L,191,AUT,,195,304,EA27,,,Blake Ellis,R,191,AUS,,509,83,6-4 6-7(5) 6-3,3,SF,155,5,2,85,54,44,25,16,0,0,12,5,111,60,48,25,15,6,8
2026-2205,Noumea,Hard,32,C,O,20260105,30,G0IX,,,Arthur Gea,R,180,FRA,,241,229,Z0BZ,6,,Michael Zheng,R,188,USA,,182,315,4-6 6-1 6-4,3,SF,123,1,6,88,70,49,6,14,4,7,0,1,83,55,35,11,13,3,8
2026-2205,Noumea,Hard,32,C,O,20260105,31,G0IX,,,Arthur Gea,R,180,FRA,,241,229,R09X,5,,Jurij Rodionov,L,191,AUT,,195,304,6-3 4-6 7-5,3,F,155,6,4,105,67,46,24,16,6,9,3,1,88,47,31,21,15,6,10
2026-2791,Nonthaburi 1,Hard,32,C,O,20260105,1,KH56,1,,Zdenek Kolar,R,183,CZE,,176,327,W0A4,,,Arthur Weber,L,185,FRA,,440,105,7-5 7-5,3,R32,110,6,2,65,41,32,14,12,0,1,4,0,80,57,36,12,12,3,6
2026-2791,Nonthaburi 1,Hard,32,C,O,20260105,2,B0JJ,,,Robin Bertrand,R,178,FRA,,302,175,P0J1,4,,Rodrigo Pacheco Mendez,L,191,MEX,,229,247,5-7 6-4 7-5,3,R32,166,8,2,93,54,37,23,17,8,13,7,3,112,66,45,19,17,8,14
2026-2791,Nonthaburi 1,Hard,32,C,O,20260105,3,S0WT,6,,Joel Schwaerzler,L,188,AUT,,254,213,MI01,,,Hiroki Moriya,R,168,JPN,,502,84,6-3 4-6 7-6(5),3,R32,158,13,7,115,69,52,20,16,10,13,6,7,100,50,37,25,15,5,8
2026-2791,Nonthaburi 1,Hard,32,C,O,20260105,4,SX90,8,,Fajing Sun,R,178,CHN,,274,196,M0SC,,,Hayato Matsuoka,R,180,JPN,,393,121,6-2 2-6 6-2,3,R32,142,2,2,82,58,34,12,12,8,12,4,2,89,50,30,17,12,11,17
